CITY,CBSA,Average_AQI
HOBBS,"Hobbs, NM",49.83287671232877
HOLLAND,"Holland, MI",41.93478260869565
HOMOSASSA SPRINGS,"Homosassa Springs, FL",41.79551820728291
HOT SPRINGS,"Hot Springs, AR",44.04132231404959
HOUGHTON,"Houghton, MI",14.52991452991453
HOUMA-THIBODAUX,"Houma-Thibodaux, LA",49.34903047091413
HOUSTON-THE WOODLANDS-SUGAR LAND,"Houston-The Woodlands-Sugar Land, TX",64.3917808219178
HUNTINGTON,"Huntington, IN",32.14929577464789
HUNTINGTON-ASHLAND,"Huntington-Ashland, WV-KY-OH",45.24109589041096
HUNTSVILLE,"Huntsville, AL",47.4404432132964
IDAHO FALLS,"Idaho Falls, ID",44.087671232876716
INDIANA,"Indiana, PA",38.86571428571428
INDIANAPOLIS-CARMEL-ANDERSON,"Indianapolis-Carmel-Anderson, IN",59.136986301369866
IOWA CITY,"Iowa City, IA",45.59065934065934
ITHACA,"Ithaca, NY",35.21067415730337
JACKSON,"Jackson, MS",43.93315018315018
JACKSONVILLE,"Jacksonville, FL",51.64657534246575
JAMESTOWN-DUNKIRK-FREDONIA,"Jamestown-Dunkirk-Fredonia, NY",39.37900874635569
JANESVILLE-BELOIT,"Janesville-Beloit, WI",38.67487684729064
JASPER,"Jasper, IN",42.275
JEFFERSON CITY,"Jefferson City, MO",38.50612244897959
JOHNSTOWN,"Johnstown, PA",45.95616438356164
JONESBORO,"Jonesboro, AR",38.63265306122449
JOPLIN,"Joplin, MO",34.09315068493151
JUNEAU,"Juneau, AK",31.359116022099446
KAHULUI-WAILUKU-LAHAINA,"Kahului-Wailuku-Lahaina, HI",23.522099447513813
KALAMAZOO-PORTAGE,"Kalamazoo-Portage, MI",42.58839779005525
KALISPELL,"Kalispell, MT",41.93150684931507
KANSAS CITY,"Kansas City, MO-KS",54.02739726027397
KAPAA,"Kapaa, HI",17.31129476584022
KEENE,"Keene, NH",36.97260273972603
KENNEWICK-RICHLAND,"Kennewick-Richland, WA",40.53150684931507
KILLEEN-TEMPLE,"Killeen-Temple, TX",45.6
KINGSPORT-BRISTOL-BRISTOL,"Kingsport-Bristol-Bristol, TN-VA",43.2534435261708
KINGSVILLE,"Kingsville, TX",41.46478873239437
KINSTON,"Kinston, NC",42.35021097046413
KLAMATH FALLS,"Klamath Falls, OR",44.43287671232877
KNOXVILLE,"Knoxville, TN",52.227397260273975
KOKOMO,"Kokomo, IN",44.662049861495845
LA CROSSE-ONALASKA,"La Crosse-Onalaska, WI-MN",41.50410958904109
LA GRANDE,"La Grande, OR",30.405479452054795
LACONIA,"Laconia, NH",30.462025316455698
LAFAYETTE,"Lafayette, LA",46.88493150684931
LAFAYETTE-WEST LAFAYETTE,"Lafayette-West Lafayette, IN",47.11232876712329
LAKE CHARLES,"Lake Charles, LA",51.915068493150685
LAKE CITY,"Lake City, FL",45.853994490358126
LAKE HAVASU CITY-KINGMAN,"Lake Havasu City-Kingman, AZ",15.342465753424657
LAKELAND-WINTER HAVEN,"Lakeland-Winter Haven, FL",43.38630136986301
LANCASTER,"Lancaster, PA",53.558904109589044
LANSING-EAST LANSING,"Lansing-East Lansing, MI",41.33424657534247
LARAMIE,"Laramie, WY",48.986301369863014
LAREDO,"Laredo, TX",50.12602739726027
LAS CRUCES,"Las Cruces, NM",63.23835616438356
LAS VEGAS-HENDERSON-PARADISE,"Las Vegas-Henderson-Paradise, NV",60.61917808219178
LAWRENCEBURG,"Lawrenceburg, TN",36.03636363636364
LAWTON,"Lawton, OK",47.728767123287675
LEBANON,"Lebanon, PA",48.138888888888886
LEWISTON,"Lewiston, ID-WA",40.81369863013698
LEWISTON-AUBURN,"Lewiston-Auburn, ME",34.0775623268698
LEXINGTON-FAYETTE,"Lexington-Fayette, KY",45.62191780821918
LIMA,"Lima, OH",44.39156626506024
LINCOLN,"Lincoln, NE",36.75694444444444
LITTLE ROCK-NORTH LITTLE ROCK-CONWAY,"Little Rock-North Little Rock-Conway, AR",51.07671232876712
LOGAN,"Logan, UT-ID",50.827397260273976
LONGVIEW,"Longview, TX",32.41274238227147
LOS ALAMOS,"Los Alamos, NM",13.333333333333334
LOS ANGELES-LONG BEACH-ANAHEIM,"Los Angeles-Long Beach-Anaheim, CA",84.7095890410959
LOUISVILLE/JEFFERSON COUNTY,"Louisville/Jefferson County, KY-IN",55.74246575342466
LUBBOCK,"Lubbock, TX",34.121212121212125
LUDINGTON,"Ludington, MI",34.21259842519685
LYNCHBURG,"Lynchburg, VA",34.157407407407405
MACON,"Macon, GA",46.60497237569061
MADERA,"Madera, CA",56.35342465753425
MADISON,"Madison, WI",45.48219178082192
MALONE,"Malone, NY",31.531073446327685
