City,State,Total_Rev_Prog_Desc
AUGUSTA,AR,621110.0
AUGUSTA,GA,28534270.0
AUGUSTA,KS,1431209.0
AUGUSTA,KY,480000.0
AUGUSTA,ME,13529025.0
AUGUSTA,MI,2232509.0
AUGUSTA,NJ,900099.0
AULANDER,NC,561000.0
AURELIA,IA,624410.0
AURORA,CO,24339618.0
AURORA,IL,8183166.0
AURORA,IN,1774930.0
AURORA,NE,1332710.0
AURORA,OH,541700.0
AURORA,OR,1335900.0
AUSTELL,GA,611600.0
AUSTERLITZ,NY,616000.0
AUSTIN,MN,2583620.0
AUSTIN,PA,541610.0
AUSTIN,TX,219832210.0
AUSTINTOWN,OH,1244990.0
AVALON,CA,1800198.0
AVALON,NJ,611710.0
AVENEL,NJ,621910.0
AVENTURA,FL,711510.0
AVILA BEACH,CA,900099.0
AVON,CO,3612130.0
AVON,CT,2411908.0
AVON,IN,4035697.0
AVON,NY,519100.0
AVON,OH,711210.0
AVON PARK,FL,1511809.0
AVONDALE,LA,621110.0
AVONDALE,PA,1522009.0
AVONDALE EST,GA,1606920.0
AYDEN,NC,621910.0
AYER,MA,900099.0
AZLE,TX,1246310.0
BABBITT,MN,713910.0
BABYLON,NY,900099.0
BACKUS,MN,238210.0
BACLIFF,TX,453310.0
BAD AXE,MI,900099.0
BADGER,MN,900099.0
BAGGS,WY,621910.0
BAGLEY,MN,1524089.0
BAILEY,CO,1524199.0
BAILEYS HARBOR,WI,900099.0
BAILEYS HBR,WI,2511308.0
BAINBRIDGE,NY,110000.0
BAINBRIDGE,OH,1611209.0
BAINBRIDGE IS,WA,10206586.0
BAKER,MT,1233620.0
BAKER CITY,OR,2558630.0
BAKERSFIELD,CA,21423381.0
BAKERSTOWN,PA,624310.0
BAKERSVILLE,NC,900099.0
BALA CYNWYD,PA,9030629.0
BALDWIN,WI,1234710.0
BALDWIN CITY,KS,1142710.0
BALDWINSVILLE,NY,2048000.0
BALLSTON LAKE,NY,1333121.0
BALLSTON SPA,NY,2514138.0
BALLWIN,MO,4697229.0
BALLY,PA,621910.0
BALSAM,NC,611600.0
BALTIMORE,MD,123049377.0
BAMBERG,SC,1152720.0
BANCROFT,IA,624410.0
BANCROFT,ID,453220.0
BANDERA,TX,4282430.0
BANDON,OR,611710.0
BANGOR,CA,623000.0
BANGOR,ME,9417120.0
BANGOR,MI,900099.0
BANGOR,PA,4064008.0
BANGOR,WI,624110.0
BANNING,CA,1173520.0
BANNOCKBURN,IL,2613098.0
BAR HARBOR,ME,1255640.0
BAR MILLS,ME,711110.0
BARABOO,WI,2879431.0
BARBERTON,OH,525990.0
BARBOURSVILLE,WV,2458289.0
BARBOURVILLE,KY,611430.0
BARDONIA,NY,711120.0
BARDSTOWN,KY,1541939.0
BARGERSVILLE,IN,1255890.0
BARHAMSVILLE,VA,453310.0
BARLOW,OH,900099.0
BARNEGAT,NJ,900099.0
BARNESVILLE,GA,900099.0
BARNESVILLE,MD,624310.0
BARNESVILLE,MN,624410.0
BARNESVILLE,OH,3033198.0
BARNSTABLE,MA,2775039.0
BARNWELL,SC,984430.0
BARRE,MA,1962910.0
BARRE,VT,9181156.0
BARRINGTON,IL,2688122.0
BARRINGTON,NJ,621910.0
BARRINGTON,RI,3408488.0
BARRON,WI,1800198.0
BART,PA,621300.0
BARTLESVILLE,OK,5709577.0
BARTLETT,NE,713990.0
BARTLETT,NH,611710.0
BARTLETT,TN,623000.0
BARTON,OH,624200.0
BARTON,VT,531390.0
BARTONVILLE,IL,900099.0
BARTOW,FL,1622109.0
BASALT,CO,3113130.0
BASKING RIDGE,NJ,6949249.0
BASLT,CO,711110.0
BASSETT,VA,900099.0
BASTIAN,VA,621400.0
BASTROP,LA,624410.0
BASTROP,TX,1524509.0
BASYE,VA,621910.0
BATAVIA,IL,4844790.0
BATAVIA,NY,8953248.0
BATAVIA,OH,5007907.0
BATESBURG,SC,1800198.0
BATESVILLE,AR,2748860.0
BATESVILLE,IN,1521209.0
BATESVILLE,MS,1511809.0
BATH,ME,3832170.0
BATH,MI,900099.0
BATH,NY,4547809.0
BATH,PA,1333100.0
BATH,SC,624200.0
BATON ROUGE,LA,56150518.0
