City,State,Total_Rev_Prog_Desc,CBSA,CITY,Average_AQI
HARRISONBURG,VA,14656227.0,"HARRISONBURG, VA",HARRISONBURG,35.843835616438355
HATTIESBURG,MS,8380448.0,"HATTIESBURG, MS",HATTIESBURG,44.76815642458101
HELENA,MT,24565241.0,"HELENA, MT",HELENA,46.93698630136986
HILO,HI,8752469.0,"HILO, HI",HILO,23.39178082191781
HOBBS,NM,3198729.0,"HOBBS, NM",HOBBS,49.83287671232877
HOLLAND,MI,5174281.0,"HOLLAND, MI",HOLLAND,41.93478260869565
HOT SPRINGS,AR,12267497.0,"HOT SPRINGS, AR",HOT SPRINGS,44.04132231404959
HOUGHTON,MI,2571810.0,"HOUGHTON, MI",HOUGHTON,14.52991452991453
HUNTINGTON,IN,3931022.0,"HUNTINGTON, IN",HUNTINGTON,32.14929577464789
HUNTSVILLE,AL,24203290.0,"HUNTSVILLE, AL",HUNTSVILLE,47.4404432132964
IDAHO FALLS,ID,4804669.0,"IDAHO FALLS, ID",IDAHO FALLS,44.08767123287672
INDIANA,PA,8645117.0,"INDIANA, PA",INDIANA,38.86571428571428
IOWA CITY,IA,15339085.0,"IOWA CITY, IA",IOWA CITY,45.59065934065934
ITHACA,NY,48506181.0,"ITHACA, NY",ITHACA,35.21067415730337
JACKSON,MS,47140545.0,"JACKSON, MS",JACKSON,43.93315018315018
JACKSONVILLE,FL,68438498.0,"JACKSONVILLE, FL",JACKSONVILLE,51.64657534246575
JASPER,IN,1248200.0,"JASPER, IN",JASPER,42.275
JEFFERSON CITY,MO,1431219.0,"JEFFERSON CITY, MO",JEFFERSON CITY,38.50612244897959
JOHNSTOWN,PA,10447678.0,"JOHNSTOWN, PA",JOHNSTOWN,45.95616438356164
JONESBORO,AR,9284659.0,"JONESBORO, AR",JONESBORO,38.63265306122449
JOPLIN,MO,9448587.0,"JOPLIN, MO",JOPLIN,34.09315068493151
JUNEAU,AK,11202239.0,"JUNEAU, AK",JUNEAU,31.35911602209945
KALISPELL,MT,12113638.0,"KALISPELL, MT",KALISPELL,41.93150684931507
KAPAA,HI,1570920.0,"KAPAA, HI",KAPAA,17.31129476584022
KEENE,NH,11211057.0,"KEENE, NH",KEENE,36.97260273972603
KINSTON,NC,624310.0,"KINSTON, NC",KINSTON,42.35021097046413
KLAMATH FALLS,OR,4129828.0,"KLAMATH FALLS, OR",KLAMATH FALLS,44.43287671232877
KNOXVILLE,TN,64587898.0,"KNOXVILLE, TN",KNOXVILLE,52.227397260273975
KOKOMO,IN,11285854.0,"KOKOMO, IN",KOKOMO,44.662049861495845
LA GRANDE,OR,812900.0,"LA GRANDE, OR",LA GRANDE,30.405479452054795
LACONIA,NH,2879909.0,"LACONIA, NH",LACONIA,30.462025316455694
LAFAYETTE,LA,17312912.0,"LAFAYETTE, LA",LAFAYETTE,46.88493150684931
LAKE CHARLES,LA,9852543.0,"LAKE CHARLES, LA",LAKE CHARLES,51.915068493150685
LAKE CITY,FL,6979505.0,"LAKE CITY, FL",LAKE CITY,45.853994490358126
LANCASTER,PA,33998765.0,"LANCASTER, PA",LANCASTER,53.55890410958904
LARAMIE,WY,2042929.0,"LARAMIE, WY",LARAMIE,48.986301369863014
LAREDO,TX,6781635.0,"LAREDO, TX",LAREDO,50.12602739726027
LAS CRUCES,NM,7259670.0,"LAS CRUCES, NM",LAS CRUCES,63.23835616438356
