CITY,STATE,Total_Rev_Prog_Desc,Percent_Unhealthy_Days
MOUNT VERNON,IL,900099.0,0.1697792869269949
MUNCIE,IN,12924883.0,0.0
MUSCATINE,IA,6282746.0,0.0
MUSKEGON,MI,7086307.0,0.381679389312977
MUSKOGEE,OK,3324228.0,1.4925373134328357
NAPA,CA,19577843.0,0.5509641873278237
NEW CASTLE,IN,3868819.0,0.0
NOGALES,AZ,1800198.0,0.5524861878453038
OCALA,FL,14790374.0,0.0
ODESSA,TX,8531068.0,0.0
OKLAHOMA CITY,OK,54446251.0,0.547945205479452
OTHELLO,WA,1521499.0,0.0
OWENSBORO,KY,10774009.0,0.2747252747252747
OXFORD,NC,1400520.0,0.0
PALATKA,FL,2567419.0,0.0
PANAMA CITY,FL,5181422.0,0.0
PAYSON,AZ,4298712.0,4.383561643835616
PEORIA,IL,32348416.0,0.5494505494505495
PIERRE,SD,6047818.0,0.0
PITTSBURGH,PA,167052869.0,3.287671232876712
PITTSFIELD,MA,23926172.0,0.0
PLATTEVILLE,WI,3554050.0,0.273972602739726
POCATELLO,ID,2208330.0,0.0
PONCA CITY,OK,2583950.0,0.273972602739726
PONCE,PR,1524299.0,1.7094017094017095
PORT ANGELES,WA,12311447.0,0.0
PORTSMOUTH,OH,9569845.0,0.0
PRESCOTT,AZ,16916736.0,0.0
PRINEVILLE,OR,900099.0,0.273972602739726
PUEBLO,CO,14326174.0,0.0
PULLMAN,WA,4892928.0,0.0
RACINE,WI,10503718.0,0.4926108374384236
RALEIGH,NC,70103444.0,0.0
RAPID CITY,SD,26318304.0,1.095890410958904
READING,PA,30650827.0,1.643835616438356
RED BLUFF,CA,1322900.0,0.0
RED WING,MN,4460139.0,0.0
REDDING,CA,17314743.0,0.0
RENO,NV,44193467.0,0.0
RICHMOND,VA,88990516.0,0.0
RIVERTON,WY,2217430.0,0.273972602739726
ROANOKE,VA,34463416.0,0.0
ROCHESTER,MN,31187497.0,0.0
ROCK SPRINGS,WY,2059220.0,0.821917808219178
ROCKFORD,IL,23200050.0,0.2932551319648094
ROCKLAND,ME,5241038.0,0.0
ROCKY MOUNT,NC,3086210.0,0.0
ROME,GA,13129785.0,0.0
ROSEBURG,OR,6077950.0,0.0
ROSWELL,NM,5070479.0,0.0
RUIDOSO,NM,624410.0,0.0
RUTLAND,VT,4684850.0,0.0
SALEM,OH,3534101.0,0.0
SALINAS,CA,8655519.0,0.273972602739726
SALT LAKE CITY,UT,9853598.0,4.931506849315069
SANDPOINT,ID,3033230.0,0.273972602739726
SANTA FE,NM,52430954.0,0.2762430939226519
SANTA ROSA,CA,23561276.0,0.0
SAVANNAH,GA,21092786.0,0.0
SAYRE,PA,900099.0,0.0
SCOTTSBLUFF,NE,7875389.0,0.0
SEBRING,FL,2671710.0,0.0
SENECA,SC,5125346.0,0.0
SEVIERVILLE,TN,6173927.0,0.0
SEYMOUR,IN,2587099.0,0.0
SHEBOYGAN,WI,21228690.0,0.9708737864077668
SHELTON,WA,1248510.0,0.0
SHERIDAN,WY,3299800.0,0.0
