F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,CITY,State,Percent_Unhealthy_Days
FALLON,NV,FALLON,NV,0.0
YUBA CITY,CA,YUBA CITY,CA,0.547945205479452
BAY CITY,MI,BAY CITY,MI,0.0
LAKE CHARLES,LA,LAKE CHARLES,LA,0.0
IDAHO FALLS,ID,IDAHO FALLS,ID,0.0
PLATTEVILLE,WI,PLATTEVILLE,WI,0.273972602739726
BEMIDJI,MN,BEMIDJI,MN,0.5681818181818182
HARRISON,AR,HARRISON,AR,0.0
IOWA CITY,IA,IOWA CITY,IA,0.0
BROOKINGS,SD,BROOKINGS,SD,1.36986301369863
DICKINSON,ND,DICKINSON,ND,0.0
VICTORIA,TX,VICTORIA,TX,0.0
SEYMOUR,IN,SEYMOUR,IN,0.0
GADSDEN,AL,GADSDEN,AL,0.0
ROCKY MOUNT,NC,ROCKY MOUNT,NC,0.0
CORPUS CHRISTI,TX,CORPUS CHRISTI,TX,0.273972602739726
EUGENE,OR,EUGENE,OR,2.191780821917808
POCATELLO,ID,POCATELLO,ID,0.0
CEDAR CITY,UT,CEDAR CITY,UT,0.0
VINCENNES,IN,VINCENNES,IN,0.0
MASON CITY,IA,MASON CITY,IA,0.0
UKIAH,CA,UKIAH,CA,0.0
LUDINGTON,MI,LUDINGTON,MI,0.0
SANTA ROSA,CA,SANTA ROSA,CA,0.0
ASHTABULA,OH,ASHTABULA,OH,0.4081632653061224
MOUNT VERNON,IL,MOUNT VERNON,IL,0.1697792869269949
ROCHESTER,MN,ROCHESTER,MN,0.0
ADRIAN,MI,ADRIAN,MI,0.0
RED BLUFF,CA,RED BLUFF,CA,0.0
WILLIAMSPORT,PA,WILLIAMSPORT,PA,0.0
LAKE CITY,FL,LAKE CITY,FL,0.0
JONESBORO,AR,JONESBORO,AR,0.0
MUNCIE,IN,MUNCIE,IN,0.0
LA GRANDE,OR,LA GRANDE,OR,0.0
WINONA,MN,WINONA,MN,0.0
WAUSAU,WI,WAUSAU,WI,0.0
CARSON CITY,NV,CARSON CITY,NV,0.0
AMERICUS,GA,AMERICUS,GA,0.0
KAPAA,HI,KAPAA,HI,0.0
HAMMOND,LA,HAMMOND,LA,0.0
HILO,HI,HILO,HI,0.0
HAILEY,ID,HAILEY,ID,0.0
ROSWELL,NM,ROSWELL,NM,0.0
MOREHEAD CITY,NC,MOREHEAD CITY,NC,0.0
STEAMBOAT SPRINGS,CO,STEAMBOAT SPRINGS,CO,0.2808988764044944
CLINTON,IA,CLINTON,IA,0.0
ROCKFORD,IL,ROCKFORD,IL,0.2932551319648094
KLAMATH FALLS,OR,KLAMATH FALLS,OR,1.643835616438356
SUMMERVILLE,GA,SUMMERVILLE,GA,0.0
SEBRING,FL,SEBRING,FL,0.0
WASHINGTON COURT HOUSE,OH,WASHINGTON COURT HOUSE,OH,0.0
PULLMAN,WA,PULLMAN,WA,0.0
MCALESTER,OK,MCALESTER,OK,0.547945205479452
MUSCATINE,IA,MUSCATINE,IA,0.0
READING,PA,READING,PA,1.643835616438356
CAMBRIDGE,MD,CAMBRIDGE,MD,0.821917808219178
INDIANA,PA,INDIANA,PA,0.0
FOND DU LAC,WI,FOND DU LAC,WI,0.0
SHOW LOW,AZ,SHOW LOW,AZ,0.273972602739726
NEW CASTLE,IN,NEW CASTLE,IN,0.0
ARDMORE,OK,ARDMORE,OK,0.0
EFFINGHAM,IL,EFFINGHAM,IL,0.0
PRINEVILLE,OR,PRINEVILLE,OR,0.273972602739726
EL CENTRO,CA,EL CENTRO,CA,5.753424657534247
HUNTINGTON,IN,HUNTINGTON,IN,0.0
CADILLAC,MI,CADILLAC,MI,0.0
PONCA CITY,OK,PONCA CITY,OK,0.273972602739726
GRAND ISLAND,NE,GRAND ISLAND,NE,0.0
KINGSVILLE,TX,KINGSVILLE,TX,0.0
PIERRE,SD,PIERRE,SD,0.0
CLARKSBURG,WV,CLARKSBURG,WV,0.0
EMPORIA,KS,EMPORIA,KS,0.847457627118644
BISHOP,CA,BISHOP,CA,3.287671232876712
WATERTOWN,SD,WATERTOWN,SD,0.0
PALATKA,FL,PALATKA,FL,0.0
CRESCENT CITY,CA,CRESCENT CITY,CA,0.0
PORTSMOUTH,OH,PORTSMOUTH,OH,0.0
MARIETTA,OH,MARIETTA,OH,0.0
DYERSBURG,TN,DYERSBURG,TN,0.0
BLOOMINGTON,IL,BLOOMINGTON,IL,0.0
KINSTON,NC,KINSTON,NC,0.0
BARABOO,WI,BARABOO,WI,0.273972602739726
EAST STROUDSBURG,PA,EAST STROUDSBURG,PA,0.0
HOUGHTON,MI,HOUGHTON,MI,0.0
MERCED,CA,MERCED,CA,1.9178082191780823
THE DALLES,OR,THE DALLES,OR,0.0
