CITY,CBSA,Percent_Unhealthy_Days
GRANTS PASS,"Grants Pass, OR",1.36986301369863
GREAT FALLS,"Great Falls, MT",0.27548209366391185
GREELEY,"Greeley, CO",2.191780821917808
GREEN BAY,"Green Bay, WI",0.0
GREENFIELD TOWN,"Greenfield Town, MA",0.0
GREENSBORO-HIGH POINT,"Greensboro-High Point, NC",0.0
GREENVILLE,"Greenville, NC",0.0
GREENVILLE-ANDERSON-MAULDIN,"Greenville-Anderson-Mauldin, SC",0.273972602739726
GUAYAMA,"Guayama, PR",0.0
GULFPORT-BILOXI-PASCAGOULA,"Gulfport-Biloxi-Pascagoula, MS",0.273972602739726
HAGERSTOWN-MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",0.5524861878453038
HAILEY,"Hailey, ID",0.0
HAMMOND,"Hammond, LA",0.0
HANFORD-CORCORAN,"Hanford-Corcoran, CA",11.232876712328768
HARRISBURG-CARLISLE,"Harrisburg-Carlisle, PA",1.643835616438356
HARRISON,"Harrison, AR",0.0
HARRISONBURG,"Harrisonburg, VA",0.0
HARTFORD-WEST HARTFORD-EAST HARTFORD,"Hartford-West Hartford-East Hartford, CT",2.191780821917808
HATTIESBURG,"Hattiesburg, MS",0.0
HELENA,"Helena, MT",0.547945205479452
HERMISTON-PENDLETON,"Hermiston-Pendleton, OR",0.273972602739726
HICKORY-LENOIR-MORGANTON,"Hickory-Lenoir-Morganton, NC",0.0
HILO,"Hilo, HI",0.0
HOBBS,"Hobbs, NM",1.095890410958904
HOLLAND,"Holland, MI",1.4492753623188406
HOMOSASSA SPRINGS,"Homosassa Springs, FL",0.0
HOT SPRINGS,"Hot Springs, AR",0.0
HOUGHTON,"Houghton, MI",0.0
HOUMA-THIBODAUX,"Houma-Thibodaux, LA",0.554016620498615
HOUSTON-THE WOODLANDS-SUGAR LAND,"Houston-The Woodlands-Sugar Land, TX",8.493150684931507
HUNTINGTON,"Huntington, IN",0.0
HUNTINGTON-ASHLAND,"Huntington-Ashland, WV-KY-OH",0.0
HUNTSVILLE,"Huntsville, AL",0.0
IDAHO FALLS,"Idaho Falls, ID",0.0
INDIANA,"Indiana, PA",0.0
INDIANAPOLIS-CARMEL-ANDERSON,"Indianapolis-Carmel-Anderson, IN",1.36986301369863
IOWA CITY,"Iowa City, IA",0.0
ITHACA,"Ithaca, NY",0.0
JACKSON,"Jackson, MS",0.0
JACKSONVILLE,"Jacksonville, FL",0.273972602739726
JAMESTOWN-DUNKIRK-FREDONIA,"Jamestown-Dunkirk-Fredonia, NY",0.2915451895043732
JANESVILLE-BELOIT,"Janesville-Beloit, WI",0.0
JASPER,"Jasper, IN",0.0
JEFFERSON CITY,"Jefferson City, MO",0.0
JOHNSTOWN,"Johnstown, PA",0.0
JONESBORO,"Jonesboro, AR",0.0
JOPLIN,"Joplin, MO",0.273972602739726
JUNEAU,"Juneau, AK",0.8287292817679558
KAHULUI-WAILUKU-LAHAINA,"Kahului-Wailuku-Lahaina, HI",1.1049723756906076
KALAMAZOO-PORTAGE,"Kalamazoo-Portage, MI",0.0
KALISPELL,"Kalispell, MT",0.273972602739726
KANSAS CITY,"Kansas City, MO-KS",0.273972602739726
KAPAA,"Kapaa, HI",0.0
KEENE,"Keene, NH",0.0
KENNEWICK-RICHLAND,"Kennewick-Richland, WA",0.0
KILLEEN-TEMPLE,"Killeen-Temple, TX",0.547945205479452
KINGSPORT-BRISTOL-BRISTOL,"Kingsport-Bristol-Bristol, TN-VA",0.27548209366391185
KINGSVILLE,"Kingsville, TX",0.0
KINSTON,"Kinston, NC",0.0
KLAMATH FALLS,"Klamath Falls, OR",1.643835616438356
KNOXVILLE,"Knoxville, TN",1.095890410958904
KOKOMO,"Kokomo, IN",0.2770083102493075
LA CROSSE-ONALASKA,"La Crosse-Onalaska, WI-MN",0.0
LA GRANDE,"La Grande, OR",0.0
LACONIA,"Laconia, NH",0.0
LAFAYETTE,"Lafayette, LA",0.0
LAFAYETTE-WEST LAFAYETTE,"Lafayette-West Lafayette, IN",0.0
LAKE CHARLES,"Lake Charles, LA",0.0
LAKE CITY,"Lake City, FL",0.0
LAKE HAVASU CITY-KINGMAN,"Lake Havasu City-Kingman, AZ",0.0
LAKELAND-WINTER HAVEN,"Lakeland-Winter Haven, FL",0.0
LANCASTER,"Lancaster, PA",2.73972602739726
LANSING-EAST LANSING,"Lansing-East Lansing, MI",0.0
LARAMIE,"Laramie, WY",0.0
LAREDO,"Laredo, TX",0.273972602739726
LAS CRUCES,"Las Cruces, NM",6.575342465753424
LAS VEGAS-HENDERSON-PARADISE,"Las Vegas-Henderson-Paradise, NV",1.36986301369863
LAWRENCEBURG,"Lawrenceburg, TN",0.0
LAWTON,"Lawton, OK",0.0
LEBANON,"Lebanon, PA",1.1111111111111112
LEWISTON,"Lewiston, ID-WA",0.273972602739726
LEWISTON-AUBURN,"Lewiston-Auburn, ME",0.0
LEXINGTON-FAYETTE,"Lexington-Fayette, KY",0.0
LIMA,"Lima, OH",0.0
LINCOLN,"Lincoln, NE",0.0
LITTLE ROCK-NORTH LITTLE ROCK-CONWAY,"Little Rock-North Little Rock-Conway, AR",0.0
LOGAN,"Logan, UT-ID",3.8356164383561646
LONGVIEW,"Longview, TX",0.13850415512465375
LOS ALAMOS,"Los Alamos, NM",0.0
LOS ANGELES-LONG BEACH-ANAHEIM,"Los Angeles-Long Beach-Anaheim, CA",24.93150684931507
